COUNTRY,CODE,PROCAN,BRECAN,CERCAN,STOCAN,ESOCAN,PANCAN,LUNCAN,COLCAN,LIVCAN,SMPREV,OWPREV,ACSHAR,GEOLAT,GEOLON
United Kingdom,GBR,10.97,12.28,1.52,5.62,7.77,9.22,32.85,18.09,4.03,20.1,63.7,11.45,55.378051,-3.435973
United States,USA,7.95,10.07,1.61,3.4,3.86,10.06,36.11,14.77,4.33,15.3,67.9,9.87,37.09024,-95.712891
United States Virgin Islands,VIR,35.43,16.51,4.34,9.79,4.27,11.3,24,26.57,2.6,,,,18.335765,-64.896335
Uruguay,URY,13.58,17.31,4.68,10.66,6.22,14.47,33.46,26.12,2.36,22.200001,62.9,6.92,-32.522779,-55.765835
Uzbekistan,UZB,4.06,9.74,4.62,13.43,6.98,5.18,12.93,10.35,6.68,11.2,48.2,2.59,41.377491,64.585262
Vanuatu,VUT,14.72,13.21,8.21,15.75,2.75,3.11,26.43,9.29,9.36,16.299999,57.1,2.25,-15.376706,166.959158
Venezuela,VEN,15.41,9.47,8,12.58,2.05,5.86,19.64,11.31,2.44,16.6,63.4,4.14,6.42375,-66.58973
Vietnam,VNM,3.81,12.41,5.01,9.98,2.87,4.53,26.98,17.5,2.75,20.700001,18.3,8.66,14.058324,108.277199
Wales,,10.77,12.16,1.56,6.33,8.18,9.58,33.49,19,4.54,,,,53.34061,-1.28162
Yemen,YEM,5.68,6.98,2.03,20.2,4.45,2.23,10.61,6.66,3.42,14.3,48.8,0.051,15.552727,48.516388
Zambia,ZMB,14.28,11.58,13.56,8.68,14.83,5.09,11.45,12.62,2.99,11.4,27.8,6.54,-13.133897,27.849332
Zimbabwe,ZWE,22.94,15.84,18.09,13.73,16.02,8.06,15.06,12.93,14.03,11.3,38.2,4.67,-19.015438,29.154857
