COUNTRY,CODE,PROCAN,BRECAN,CERCAN,STOCAN,ESOCAN,PANCAN,LUNCAN,COLCAN,LIVCAN,SMPREV,OWPREV,ACSHAR,GEOLAT,GEOLON
Niger,NER,13.31,5.83,12.18,14.68,4.15,2.36,9.9,5.62,0.65,5,22,0.67,17.607789,8.081666
Nigeria,NGA,25.21,14.29,6.38,4.43,1,4.27,8.27,8.63,3.57,4,28.9,10.84,9.081999,8.675277
Niue,NIU,12.75,16.47,5.84,10.43,2.52,6.4,31.39,13.61,7.34,,80,,-19.054445,-169.867233
North Korea,PRK,2.81,7.28,4.5,22.49,9.01,3.88,28.54,10.89,10.2,24,32.4,3.8,40.339852,127.510093
North Macedonia,MKD,9.94,14.08,3.15,15.32,1.56,10.81,38.89,22.13,8.82,36.900002,58.1,6.16,41.608635,21.745275
Northern Ireland,,10.86,13.11,1.51,6.27,7.73,9.64,37.73,19.12,4.02,,,,53.41291,-8.24389
Northern Mariana Islands,MNP,13.05,13.9,7.77,12.02,3.01,7.75,46.24,18.34,7.84,,,,17.33083,145.38469
Norway,NOR,12.64,8.31,1.45,4.49,2.44,9.02,24.55,19.84,2.45,16.9,58.3,7.41,60.472024,8.468946
Oman,OMN,5.98,7.65,1.38,7.98,2.38,6.21,10.45,10.2,4.75,9.1000004,62.6,0.78,21.512583,55.923255
Pakistan,PAK,6.29,26.34,2.22,6.87,8.23,3.1,17.16,8.34,3.46,15.4,28.4,0.34,30.375321,69.345116
Palau,PLW,15.73,17.15,14.7,11.1,2.51,11.95,45.79,13.69,9.79,,85.1,,7.51498,134.58252
Palestine,PSX,7.37,13.46,1.54,7.12,1.16,7.01,23.83,19.6,6.61,20.799999,,,31.952162,35.233154
Panama,PAN,11.71,7.07,5.12,10.76,1.64,4.88,10.81,10.9,3.06,8.3999996,58.8,7.98,8.537981,-80.782127
Papua New Guinea,PNG,11.46,20.83,6.84,13.95,2.02,1.81,23.16,7.46,1.67,37.900002,52.9,1.39,-6.314993,143.95555
Paraguay,PRY,11.21,9.5,8.61,8.72,3.99,6.26,16.33,12.16,2.19,11.7,53.5,7.58,-23.442503,-58.443832
Peru,PER,10.28,5.7,6.34,17.81,1.38,5.42,10.89,9.44,2.74,11,57.5,6.38,-9.189967,-75.015152
Philippines,PHL,7.1,12.27,3.58,4.5,1.36,4.41,18.47,14.89,6.58,22.9,27.6,6.86,12.879721,121.774017
Poland,POL,8.71,11.09,3.27,9.66,3.28,10.58,44.31,24.72,2.06,27.200001,58.3,11.71,51.919438,19.145136
Portugal,PRT,9.13,9.32,1.75,11.95,3.17,7.44,20.74,20.11,4.59,21.6,57.5,12.03,39.399872,-8.224454
Puerto Rico,PRI,10.44,9.54,2.05,4.74,2.5,6.1,11.52,15.44,2.74,,,,18.220833,-66.590149
